year,gp_code,theme_slug,evidence,source_path,source_sha256
2022-2023,224478,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Tamil_Nadu__33/Kanchipuram__574/Walajabad__6187/html/page_001.html,ebdab2eafc9be83ce67b5410e28dc0109f5181a29070116d9c966b1238086c50
2022-2023,224496,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Tamil_Nadu__33/Kanchipuram__574/Walajabad__6187/html/page_001.html,ebdab2eafc9be83ce67b5410e28dc0109f5181a29070116d9c966b1238086c50
2022-2023,255851,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Lamka__6571/html/page_001.html,0bcfd1c360e5d5226d7f9eccc85d15dfcf90f14713def5bb2dc59480d7ead259
2022-2023,255960,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Samulamlan__6573/html/page_001.html,8cebd8745e9f68905008149d3c03149473f06899d95f358ad01cd9d1649fb570
2022-2023,256272,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Tuibong__6578/html/page_001.html,cb273e0ab7fee3dea88b7f992f020c0232edd9a538501914e1e63afd0511c9d5
2022-2023,256274,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Tuibong__6578/html/page_001.html,cb273e0ab7fee3dea88b7f992f020c0232edd9a538501914e1e63afd0511c9d5
2022-2023,256287,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Tuibong__6578/html/page_001.html,cb273e0ab7fee3dea88b7f992f020c0232edd9a538501914e1e63afd0511c9d5
2022-2023,256291,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Tuibong__6578/html/page_001.html,cb273e0ab7fee3dea88b7f992f020c0232edd9a538501914e1e63afd0511c9d5
2022-2023,256294,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Tuibong__6578/html/page_001.html,cb273e0ab7fee3dea88b7f992f020c0232edd9a538501914e1e63afd0511c9d5
2022-2023,276703,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Tuibong__6578/html/page_001.html,cb273e0ab7fee3dea88b7f992f020c0232edd9a538501914e1e63afd0511c9d5
2022-2023,276711,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Tuibong__6578/html/page_001.html,cb273e0ab7fee3dea88b7f992f020c0232edd9a538501914e1e63afd0511c9d5
2022-2023,276715,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Tuibong__6578/html/page_001.html,cb273e0ab7fee3dea88b7f992f020c0232edd9a538501914e1e63afd0511c9d5
2022-2023,276729,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Tuibong__6578/html/page_001.html,cb273e0ab7fee3dea88b7f992f020c0232edd9a538501914e1e63afd0511c9d5
2022-2023,276734,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Tuibong__6578/html/page_001.html,cb273e0ab7fee3dea88b7f992f020c0232edd9a538501914e1e63afd0511c9d5
2022-2023,277645,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Tuibong__6578/html/page_001.html,cb273e0ab7fee3dea88b7f992f020c0232edd9a538501914e1e63afd0511c9d5
2022-2023,290282,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Tuibong__6578/html/page_001.html,cb273e0ab7fee3dea88b7f992f020c0232edd9a538501914e1e63afd0511c9d5
2022-2023,290283,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Tuibong__6578/html/page_001.html,cb273e0ab7fee3dea88b7f992f020c0232edd9a538501914e1e63afd0511c9d5
2022-2023,290290,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Tuibong__6578/html/page_001.html,cb273e0ab7fee3dea88b7f992f020c0232edd9a538501914e1e63afd0511c9d5
2022-2023,290319,t2_healthy_panchayat,Official PAI result cell is blank; preserve as null and do not impute,2022-2023/Manipur__14/Churachandpur__254/Tuibong__6578/html/page_001.html,cb273e0ab7fee3dea88b7f992f020c0232edd9a538501914e1e63afd0511c9d5
