year,state,blocks_with_data,blocks_no_data,gp_count,score_rows,mean_overall_pai
2022-2023,Andaman And Nicobar Islands,7,0,70,700,57.01
2022-2023,Andhra Pradesh,659,1,13310,133100,58.09
2022-2023,Arunachal Pradesh,116,0,2108,21080,51.9
2022-2023,Assam,191,44,2154,21540,59.65
2022-2023,Bihar,533,1,8053,80530,55.27
2022-2023,Chhattisgarh,149,23,7619,76190,49.9
2022-2023,Goa,0,12,0,0,
2022-2023,Gujarat,248,0,13218,132180,68.65
2022-2023,Haryana,143,0,6223,62230,49.3
2022-2023,Himachal Pradesh,84,4,3328,33280,56.65
2022-2023,Jammu And Kashmir,280,0,4291,42910,57.7
2022-2023,Jharkhand,263,1,4281,42810,49.11
2022-2023,Karnataka,237,1,5907,59070,56.55
2022-2023,Kerala,152,0,941,9410,67.05
2022-2023,Ladakh,31,0,193,1930,59.63
2022-2023,Lakshadweep,10,0,10,100,56.96
2022-2023,Madhya Pradesh,206,108,11462,114620,57.77
2022-2023,Maharashtra,137,214,6347,63470,57.42
2022-2023,Manipur,18,52,733,7330,44.57
2022-2023,Meghalaya,0,56,0,0,
2022-2023,Mizoram,26,0,834,8340,52.78
2022-2023,Nagaland,0,74,0,0,
2022-2023,Odisha,314,1,6794,67940,58.81
2022-2023,Puducherry,0,3,0,0,
2022-2023,Punjab,135,18,7811,78110,53.76
2022-2023,Rajasthan,345,11,10634,106340,54.88
2022-2023,Sikkim,33,0,199,1990,62.3
2022-2023,Tamil Nadu,388,0,12525,125250,58.44
2022-2023,Telangana,540,2,12768,127680,65.87
2022-2023,The Dadra And Nagar Haveli And Daman And Diu,3,0,38,380,63.31
2022-2023,Tripura,58,0,1176,11760,63.1
2022-2023,Uttar Pradesh,516,311,20768,207680,55.02
2022-2023,Uttarakhand,95,0,5878,58780,55.36
2022-2023,West Bengal,0,345,0,0,
2023-2024,Andaman And Nicobar Islands,7,0,70,700,57.39
2023-2024,Andhra Pradesh,659,0,13310,133100,64.92
2023-2024,Arunachal Pradesh,117,0,2108,21080,48.0
2023-2024,Assam,182,0,2192,21920,60.0
2023-2024,Bihar,533,0,8053,80530,51.9
2023-2024,Chhattisgarh,63,83,2198,21980,54.93
2023-2024,Goa,12,0,188,1880,57.98
2023-2024,Gujarat,248,0,13234,132340,64.31
2023-2024,Haryana,143,0,6225,62250,59.56
2023-2024,Himachal Pradesh,88,0,3615,36150,58.63
2023-2024,Jammu And Kashmir,280,0,4291,42910,57.09
2023-2024,Jharkhand,264,0,4345,43450,58.88
2023-2024,Karnataka,237,0,5946,59460,61.24
2023-2024,Kerala,152,0,941,9410,70.29
2023-2024,Ladakh,31,0,193,1930,57.09
2023-2024,Lakshadweep,10,0,10,100,59.04
2023-2024,Madhya Pradesh,205,108,11490,114900,59.17
2023-2024,Maharashtra,139,212,5718,57180,55.95
2023-2024,Manipur,70,0,2341,23410,37.79
2023-2024,Meghalaya,32,24,1669,16690,43.12
2023-2024,Mizoram,26,0,840,8400,63.38
2023-2024,Nagaland,74,0,1277,12770,46.92
2023-2024,Odisha,314,0,6794,67940,64.77
2023-2024,Puducherry,3,0,108,1080,62.19
2023-2024,Punjab,128,25,6818,68180,53.82
2023-2024,Rajasthan,352,0,11037,110370,59.07
2023-2024,Sikkim,33,0,199,1990,65.11
2023-2024,Tamil Nadu,388,0,12482,124820,65.13
2023-2024,Telangana,566,0,12556,125560,65.66
2023-2024,The Dadra And Nagar Haveli And Daman And Diu,3,0,42,420,63.47
2023-2024,Tripura,58,0,1176,11760,78.04
2023-2024,Uttar Pradesh,591,235,35979,359790,54.9
2023-2024,Uttarakhand,95,0,5566,55660,55.26
2023-2024,West Bengal,0,345,0,0,
